filtre;APP_Libelle_activite_etablissement;APP_Libelle_etablissement;ods_adresse;Code_postal;Libelle_commune;Synthese_eval_sanit;geores;SIRET;Date_inspection;Numero_inspection;Agrement;ods_type_activite
Restaurant;Restaurant;132 134;132 134;93100;Montreuil;Satisfaisant;48.859436, 2.442545;81140630500011;2019-05-27T02:00:00+02:00;19-047750-1;;Autres
Restaurant;Restaurant;SUAVE;20 RUE DE LA PROVIDENCE;75013;Paris 13e  Arrondissement;Satisfaisant;48.825969, 2.347716;45281402300019;2019-03-04T01:00:00+01:00;19-024423-1;;Autres
Restaurant;Restaurant;PICCADILLY CAFE;2 AV JEAN JAURES;71100;Chalon-sur-Saône;Très satisfaisant;46.782934, 4.846318;79287998300023;2018-11-06T01:00:00+01:00;18-087446-1;;Autres
Restaurant;Restaurant;CELLAR RESTAURANT;9 RUE DE CRUSSOL;75011;Paris 11e  Arrondissement;Satisfaisant;48.86412, 2.367653;52425348100013;2019-01-17T01:00:00+01:00;19-002637-1;;Autres
Restaurant;Restaurant;LE METIS;A COTE DE LA POSTE;97660;Bandrele;A améliorer;-12.929205, 45.176287;53964846900010;2019-03-12T01:00:00+01:00;19-020431-1;;Autres
Restaurant;Restaurant;SOUP;14 RUE DU FBG POISSONNIERE;75010;Paris 10e  Arrondissement;Satisfaisant;48.871711, 2.347997;83158566600017;2019-01-03T01:00:00+01:00;19-000373-1;;Autres
Restaurant;Restaurant;RESTAURANT LE FEU WOK;9 BD LOUIS BARTHOU;54500;Vandoeuvre-lès-Nancy;Satisfaisant;48.667906, 6.189646;52240694100016;2018-09-04T02:00:00+02:00;18-067631-1;;Autres
Restaurant;Restaurant;PIZZA SANTA LUCIA;PIZZA SANTA LUCIA;93110;Rosny-sous-Bois;A améliorer;;79399753700014;2019-07-18T02:00:00+02:00;19-066523-1;;Autres
Restaurant;Restaurant;C.E.R. SNCF PARIS-EST;CAFETERIA;000NR;Non Renseigné;Satisfaisant;;33482250900272;2019-05-03T02:00:00+02:00;19-041471-1;;Autres
Restaurant;Restaurant;VIGNES;76 BOULEVARD DE LA VILLETTE;75019;Paris 19e  Arrondissement;Satisfaisant;48.875766, 2.373202;82447320100013;2019-04-16T02:00:00+02:00;19-037579-1;;Autres
Restaurant;Restaurant;BLEU NUANCE SARL;148 Avenue Mendès France;13008;Marseille 8e  Arrondissement;Satisfaisant;43.254319, 5.376026;52033146300015;2018-10-29T01:00:00+01:00;18-081193-1;;Autres
Restaurant;Restaurant;L'APARTE;L APARTE;09110;Ax-les-Thermes;Satisfaisant;42.718675, 1.837905;81108772500016;2019-02-27T01:00:00+01:00;19-019391-1;;Autres
Restaurant;Restaurant;LA MELANGERIE;6 RUE HELENE ET FRANCOIS MISSOFFE;75017;Paris 17e  Arrondissement;Satisfaisant;48.899461, 2.321448;84079913400019;2019-06-27T02:00:00+02:00;19-058460-1;;Autres
Restaurant;Restaurant;PIZZERIA ZIO;PIZZERIA ZIO;59650;Villeneuve-d'Ascq;Satisfaisant;50.618944, 3.13119;48052467700014;2019-01-08T01:00:00+01:00;19-000791-1;;Autres
Restaurant;Restaurant;HIPOTEL PARIS;7 RUE JEAN BAPTISTE DUMAY;75020;Paris 20e  Arrondissement;Satisfaisant;48.874256, 2.387817;82346475500011;2019-08-01T02:00:00+02:00;19-070637-1;;Autres
Restaurant;Restaurant;LE PAVILLON DE JADE;19 BOULEVARD EXELMANS;75016;Paris 16e  Arrondissement;Satisfaisant;48.840497, 2.265221;43269609400015;2019-02-15T01:00:00+01:00;19-014661-1;;Autres
Restaurant;Restaurant;MC DONALD'S;LE LAC SUD;07000;Privas;Très satisfaisant;44.720057, 4.607984;51398406200028;2019-04-29T02:00:00+02:00;19-020711-1;;Autres
Restaurant;Restaurant;SERGE MIGNE EVENEMENTS;AVENUE PIERRE MENDES FRANCE;13008;Marseille 8e  Arrondissement;Très satisfaisant;43.25346, 5.376114;42490339100037;2019-06-21T02:00:00+02:00;19-067588-1;;Autres
Restaurant;Restaurant;LE BISTROT GAMBETTA;7 RUE GAMBETTA;85300;Challans;Satisfaisant;46.845471, -1.878523;82476964000015;2018-11-20T01:00:00+01:00;18-085967-1;;Autres
Restaurant;Restaurant;LE PETIT BISTROT;1 RUE MEJANES;13100;Aix-en-Provence;Très satisfaisant;43.529182, 5.448481;83171827500025;2019-01-09T01:00:00+01:00;19-001140-1;;Autres
Restaurant;Restaurant;CUISINE CENTRALE LE RESTAU VERT;LE RESTAU VERT;42100;Saint-Étienne;Satisfaisant;45.427189, 4.440878;50760055900029;2018-11-27T01:00:00+01:00;18-087659-1;;Autres
Restaurant;Restaurant;FALAFEL DU CANAL;153 RUE DE CRIMEE;75019;Paris 19e  Arrondissement;Satisfaisant;48.88771, 2.380044;80232800500011;2018-10-19T02:00:00+02:00;18-079547-1;;Autres
Restaurant;Restaurant;FULL TACOS;PL THERMIDOR;34000;Montpellier;Très satisfaisant;43.601928, 3.899334;82341270500027;2019-05-03T02:00:00+02:00;19-017180-1;;Autres
Restaurant;Restaurant;LE GASQUET;4 RUE JULES FAVRE;83390;Pierrefeu-du-Var;Très satisfaisant;43.226893, 6.144902;53012316500025;2019-03-21T01:00:00+01:00;19-035259-1;;Autres
Restaurant;Restaurant;SARL CREP CAFE;Rte de ST Paul 3 Chateaux;84500;Bollène;Très satisfaisant;44.312627, 4.75062;48109575000016;2019-03-22T01:00:00+01:00;19-029300-1;;Autres
